ProductID,WarehouseID,StockLevel,ReorderPoint,SafetyStock,PotentialRevenue
P001,W001,381,113,21,116875.56
P001,W002,437,70,45,134054.12
P001,W003,784,101,40,240499.84
P001,W004,237,68,30,72702.12
P001,W005,496,103,67,152152.96
P001,W006,261,129,64,80064.36
P001,W007,376,87,60,115341.76
P001,W008,393,101,60,120556.68
P001,W009,374,60,44,114728.24
P001,W010,264,135,33,80984.64
P002,W001,143,104,65,78984.62
P002,W002,111,58,35,61309.74
P002,W003,625,82,44,345212.5
P002,W004,357,68,50,197185.38
P002,W005,415,61,36,229221.1
P002,W006,80,148,38,44187.2
P002,W007,336,57,44,185586.24
P002,W008,290,116,39,160178.6
P002,W009,302,54,29,166806.68
P002,W010,25,76,50,13808.5
P003,W001,49,135,23,56398.51
P003,W002,16,147,38,18415.84
P003,W003,747,95,72,859789.53
P003,W004,258,144,34,296955.42
P003,W005,115,60,67,132363.85
P003,W006,260,120,51,299257.4
P003,W007,294,97,68,338391.06
P003,W008,342,145,21,393638.58
P003,W009,141,142,33,162289.59
P003,W010,29,131,26,33378.71
P004,W001,314,53,76,87602.86
P004,W002,383,91,68,106853.17
P004,W003,529,123,70,147585.71
P004,W004,81,134,57,22598.19
P004,W005,371,109,29,103505.29
P004,W006,303,72,59,84533.97
P004,W007,13,115,71,3626.87
P004,W008,421,72,40,117454.79
P004,W009,306,92,67,85370.94
P004,W010,211,146,75,58866.89
P005,W001,190,57,21,113048.1
P005,W002,409,58,28,243350.91
P005,W003,522,65,40,310584.78
P005,W004,351,136,72,208841.49
P005,W005,389,103,20,231451.11
P005,W006,275,85,27,163622.25
P005,W007,328,51,60,195156.72
P005,W008,459,85,77,273100.41
P005,W009,185,147,66,110073.15
P005,W010,89,55,77,52954.11
P006,W001,178,135,65,121020.42
P006,W002,352,108,58,239321.28
P006,W003,427,63,58,290313.03
P006,W004,28,128,77,19036.92
P006,W005,61,84,46,41473.29
P006,W006,102,142,79,69348.78
P006,W007,188,106,70,127819.32
P006,W008,267,77,65,181530.63
P006,W009,364,67,39,247479.96
P006,W010,188,145,47,127819.32
P007,W001,405,136,28,451271.25
P007,W002,234,112,58,260734.5
P007,W003,763,65,42,850172.75
P007,W004,246,113,48,274105.5
P007,W005,277,72,66,308647.25
P007,W006,2,86,45,2228.5
P007,W007,133,140,58,148195.25
P007,W008,219,74,45,244020.75
P007,W009,235,89,30,261848.75
P007,W010,277,118,66,308647.25
P008,W001,289,56,63,187240.21
P008,W002,67,128,58,43408.63
P008,W003,783,50,29,507297.87
P008,W004,110,127,35,71267.9
P008,W005,123,114,56,79690.47
P008,W006,230,127,49,149014.7
P008,W007,177,55,70,114676.53
P008,W008,411,134,40,266282.79
P008,W009,484,82,34,313578.76
P008,W010,403,141,23,261099.67
P009,W001,201,124,61,187145.07
P009,W002,57,114,41,53070.99
P009,W003,355,117,72,330529.85
P009,W004,458,111,46,426430.06
P009,W005,308,63,25,286769.56
P009,W006,289,119,70,269079.23
P009,W007,241,135,66,224387.87
P009,W008,222,51,78,206697.54
P009,W009,52,58,46,48415.64
P009,W010,116,55,77,108004.12
P010,W001,420,108,25,259253.4
P010,W002,353,63,76,217896.31
P010,W003,652,120,67,402460.04
P010,W004,357,84,23,220365.39
P010,W005,311,131,67,191970.97
P010,W006,86,82,71,53085.22
P010,W007,366,148,64,225920.82
P010,W008,184,91,59,113577.68
P010,W009,102,67,22,62961.54
P010,W010,242,136,74,149379.34
P011,W001,85,149,49,46245.95
P011,W002,413,71,64,224700.91
P011,W003,649,147,78,353101.43
P011,W004,339,89,62,184439.73
P011,W005,443,77,50,241023.01
P011,W006,476,81,58,258977.32
P011,W007,306,133,74,166485.42
P011,W008,365,143,31,198585.55
P011,W009,153,112,24,83242.71
P011,W010,410,82,30,223068.7
P012,W001,168,55,75,97824.72
P012,W002,86,91,20,50076.94
P012,W003,361,59,26,210206.69
P012,W004,403,122,21,234662.87
P012,W005,345,146,36,200890.05
P012,W006,286,63,45,166534.94
P012,W007,495,105,75,288233.55
P012,W008,38,101,32,22127.02
P012,W009,336,91,67,195649.44
P012,W010,255,65,47,148483.95
P013,W001,487,78,43,498790.27
P013,W002,99,114,20,101396.79
P013,W003,425,128,71,435289.25
P013,W004,138,92,59,141340.98
P013,W005,137,127,75,140316.77
P013,W006,166,104,55,170018.86
P013,W007,460,119,36,471136.6
P013,W008,362,138,30,370764.02
P013,W009,453,55,59,463967.13
P013,W010,413,133,41,422998.73
P014,W001,326,78,77,270345.28
P014,W002,394,98,43,326736.32
P014,W003,696,110,36,577178.88
